"","id","lcp","year","source","unc","occ_type","origin","geo","pass"
"1",40,186.093452856451,2020,"odra_mapping",NA,"recent_B","B",162.733902572838,171.070447196165
"2",43,43.4415758251997,2019,"ndop",7,"occs","A",41.3325949082918,43.3538427794618
"3",44,39.9249246079262,2019,"ndop",3,"occs","A",37.7540548173228,39.8365693077875
"4",45,51.6177702268841,2017,"ndop",1,"occs","A",49.3046056842794,51.6252900366117
"5",46,63.4022897442167,2017,"ndop",1,"occs","A",55.525250576343,58.9877166298857
"6",47,63.4022897442167,2017,"ndop",1,"occs","A",55.525250576343,58.9877166298857
"7",48,38.6505369439538,2017,"ndop",1,"occs","A",36.1262720781431,38.036408366752
"8",49,61.4072121109633,2017,"ndop",1,"occs","A",55.6442802361008,60.9093728382427
"9",50,70.6350092461796,2017,"ndop",1,"occs","A",64.1269847401771,68.9202313290791
"10",51,53.149974070105,2017,"ndop",1,"occs","A",50.6823214919632,53.156479328062
"11",52,63.0384127811355,2017,"ndop",1,"occs","A",56.2474606967785,59.2904120678813
"12",53,69.1726777196724,2017,"ndop",1,"occs","A",61.5263983126626,67.2468018753745
"13",54,155.923665860134,2018,"ndop",1,"occs","B",133.620659622528,141.09852910179
"14",55,150.011538224787,2018,"ndop",1,"occs","B",128.534903851776,135.233607053568
"15",56,152.127415776425,2018,"ndop",1,"occs","B",130.743479467988,137.711058137655
"16",57,165.474059494024,2018,"ndop",1,"occs","B",143.109074130921,151.059494247262
"17",58,2.0871938561167,2018,"ndop",1,"occs","B",2.06920812862058,2.08741273713515
"18",59,1.68875848298032,2018,"ndop",1,"occs","B",1.60211329223926,1.68899262229224
"19",60,7.31302849802161,2018,"ndop",1,"occs","B",6.90286557325314,7.02972801472916
"20",61,29.8994439891558,2018,"ndop",1,"occs","B",27.4199216160603,28.2998108212123
"21",62,26.4158559347035,2018,"ndop",1,"occs","B",24.5580872420205,25.2934770059477
"22",63,3.9459653396636,2018,"ndop",1,"occs","A",3.75684169690399,3.9464001627418
"23",64,9.92060594793953,2018,"ndop",1,"occs","A",8.16265475628954,8.61128252412404
"24",65,13.5142098027275,2018,"ndop",1,"occs","B",12.6096987667224,12.9511771058977
"25",67,2.81766255009973,2018,"ndop",1,"occs","A",2.22142697946475,2.29923658194636
"26",68,2.7073470159289,2018,"ndop",1,"occs","B",1.89766414087345,2.30617064286405
"27",69,8.43433920325229,2018,"ndop",1,"occs","B",6.9565774253625,7.19724623660186
"28",70,7.32997540126079,2018,"ndop",1,"occs","A",7.05689985460452,7.28804003479742
"29",71,12.0457862592996,2018,"ndop",1,"occs","A",11.0566259643872,11.3793332293051
"30",72,6.63705084890559,2018,"ndop",1,"occs","B",5.38023366261159,5.47387482091076
"31",73,60.0675989809558,2018,"ndop",11,"occs","A",53.5044701033207,56.5340489954775
"32",74,67.1750786448426,2018,"ndop",10,"occs","A",60.1355215624085,63.4233908869779
"33",75,63.0384127811355,2018,"ndop",25,"occs","A",56.2474606967785,59.2904120678813
"34",76,53.9476379200501,2018,"ndop",10,"occs","A",49.7613671142445,52.2378375146412
"35",77,3.87989027499364,2018,"ndop",8,"occs","B",3.07466179901595,3.07465094290437
"36",78,8.43433920325229,2018,"ndop",4,"occs","B",6.9565774253625,7.19724623660186
"37",79,8.43433920325229,2018,"ndop",4,"occs","B",6.9565774253625,7.19724623660186
"38",80,4.18169455829466,2018,"ndop",4,"occs","B",3.58774471922606,3.69718917922268
"39",81,48.2819686707524,2018,"ndop",4,"occs","A",44.8475689151919,47.4995236054336
"40",82,39.4025585722702,2017,"ndop",387,"occs","A",31.6261712381434,33.141331142396
"41",83,70.6350092461796,2017,"ndop",3,"occs","A",64.1269847401771,68.9202313290791
"42",84,68.1975261697641,2016,"ndop",16,"occs","A",61.156034327102,65.4514122402154
"43",85,60.3963132374033,2016,"ndop",6,"occs","A",53.159583737647,55.8575419555657
"44",86,55.7938212403639,2016,"ndop",3,"occs","A",52.8182327931311,55.3023049346594
"45",87,68.2944495593907,2016,"ndop",4,"occs","A",61.6697615803169,66.5305052618686
"46",88,69.1726777196724,2016,"ndop",32,"occs","A",61.5263983126626,67.2468018753745
"47",89,68.8669566912571,2016,"ndop",4,"occs","A",61.2235639418527,67.6142885178643
"48",91,0.306197085997067,2014,"ndop",25,"occs","A",0.306236468507176,0.306235380651906
"49",92,13.9902237720285,2014,"ndop",0,"occs","A",13.1685818748088,13.8982761258703
"50",93,5.1222222641226,2013,"ndop",0,"occs","B",3.71924188081968,3.85495446901287
"51",94,172.56086740346,2019,"nat_mapping",NA,"occs","B",149.892372294817,157.941560124457
"52",95,21.7378707115469,2019,"nat_mapping",NA,"occs","B",21.0401144298249,21.535405427956
"53",96,39.095459460415,2012,"ndop",0,"occs","A",35.6618851275049,38.050607480267
"54",97,144.243198291638,2018,"nat_mapping",NA,"occs","B",125.309330655722,131.805298153363
"55",99,41.784275335552,2020,"ndop",10,"occs","A",37.5185974142963,39.7791312970375
"56",100,81.2501679117401,2020,"ndop",8,"occs","A",70.678927025633,76.3815517886679
"57",101,0.306197085997067,2013,"nat_mapping",NA,"occs","A",0.306236468507176,0.306235380651906
"58",102,54.8346450522404,2020,"ndop",15,"occs","A",52.3909514568287,54.5313119946546
"59",103,108.893271433632,2020,"ndop",16,"occs","A",90.508156478963,96.5102412511036
"60",104,15.6044966894028,2019,"nat_mapping",NA,"occs","B",14.6132819191391,15.2289700168229
"61",105,14.195265918363,2013,"nat_mapping",NA,"occs","A",12.5672740879234,13.1881259037535
"62",107,64.0851288916893,2020,"ndop",6,"occs","A",53.6490720739294,57.3924306712898
"63",109,74.6146258835335,2020,"ndop",0,"occs","B",66.6940712430524,72.5398807762153
"64",110,51.4707413454067,2018,"nat_mapping",NA,"occs","A",45.2360473984518,47.2733339597955
"65",111,189.226546640193,2020,"ndop",10,"recent_A","A",160.982249879446,176.660672899728
