"","id","lcp","year","source","unc","occ_type","geo","pass"
"1",6,7.34223177607859,2017,"odra_mapping",NA,"occs",6.97710958010821,7.23717868011994
"2",7,7.34223177607859,2017,"odra_mapping",NA,"occs",6.97710958010821,7.23717868011994
"3",8,6.75944269022507,2017,"odra_mapping",NA,"occs",6.20958349666796,6.39969473637317
"4",9,12.1091188180459,2017,"odra_mapping",NA,"occs",11.6048513672762,11.9865263085308
"5",13,12.6169113397929,2017,"odra_mapping",NA,"occs",10.4891721291753,10.8838740934417
"6",14,13.0802699399693,2017,"odra_mapping",NA,"occs",10.145940542791,10.7262788435768
"7",10,1.82754590650286,2018,"odra_mapping",NA,"occs",1.65752082991562,1.73386968953207
"8",11,1.82754590650286,2018,"odra_mapping",NA,"occs",1.65752082991562,1.73386968953207
"9",12,1.99013192463597,2018,"odra_mapping",NA,"occs",1.94886154119261,1.94886154387337
"10",15,6.23429547156929,2018,"odra_mapping",NA,"occs",5.38834982197021,5.71801285523016
"11",16,8.37704701468134,2018,"odra_mapping",NA,"occs",7.7100766893647,8.21882567394809
"12",17,14.8178746989453,2018,"odra_mapping",NA,"occs",13.6651682781277,14.5667946396139
"13",18,7.06569281432906,2018,"odra_mapping",NA,"occs",6.42429627014197,6.90729292302933
"14",19,7.41079254587592,2018,"odra_mapping",NA,"occs",6.79777338374745,7.06479732129153
"15",21,10.7696853014634,2019,"odra_mapping",NA,"occs",10.5807028123939,10.7296644111855
"16",22,0.600792051318805,2019,"odra_mapping",NA,"occs",0.600867247992859,0.600867248218963
"17",23,11.1444991018116,2019,"odra_mapping",NA,"occs",10.8527267343773,11.0631843955971
"18",24,6.74332147001292,2019,"odra_mapping",NA,"occs",6.62657475870176,6.77904949365376
"19",25,4.79677875572509,2019,"odra_mapping",NA,"occs",4.31829790906028,4.34580438327603
"20",26,6.74332147001292,2019,"odra_mapping",NA,"occs",6.62657475870176,6.77904949365376
"21",27,6.94954365174096,2019,"odra_mapping",NA,"occs",6.79453654176372,6.90902748071949
"22",28,4.44276547958185,2019,"odra_mapping",NA,"occs",4.3404430195959,4.57960884782499
"23",29,0.551959549491804,2020,"odra_mapping",NA,"occs",0.552025374589594,0.552025374589594
"24",30,2.82533794714697,2020,"odra_mapping",NA,"occs",2.80038832241967,2.8257079136471
"25",31,1.98941498528721,2020,"odra_mapping",NA,"occs",1.94838753791508,1.94838754066713
"26",32,0.463393647124193,2020,"odra_mapping",NA,"occs",0.463447760768401,0.463447760768401
"27",33,5.11936865954718,2020,"odra_mapping",NA,"occs",4.96764327730814,5.11985988667096
"28",34,4.1453249452168,2020,"odra_mapping",NA,"occs",4.0345218191877,4.22192010369574
"29",35,5.87698919048619,2020,"odra_mapping",NA,"occs",5.68792317066123,5.87762627591408
"30",36,5.15873949225972,2020,"odra_mapping",NA,"occs",4.78713498449674,5.00058933367396
"31",37,5.45834879928553,2020,"odra_mapping",NA,"occs",4.72097508131104,4.87087715306228
"32",38,8.44643504691543,2020,"odra_mapping",NA,"occs",7.96922741495922,8.171627079814
"33",39,8.57972565556631,2020,"odra_mapping",NA,"occs",8.10040159344219,8.31717632340148
"34",40,9.20635998194676,2020,"odra_mapping",NA,"recent_B",8.8336093288188,8.9616997374783
"35",42,0.551959549491804,2020,"odra_mapping",NA,"occs",0.552025374589594,0.552025374589594
