"","lat","lon","year","date","author","temperatureC","note"
"1",49.5036666666667,17.9,2013,"16.08.2013","Kočárek","19",NA
"2",49.5036944444444,17.9149722222222,2013,"16.08.2013","Kočárek","19",NA
"3",49.5033055555556,17.9168611111111,2013,"16.08.2013","Kočárek","19",NA
"4",49.5031944444444,17.9174444444444,2013,"16.08.2013","Kočárek","19",NA
"7",49.5788333333333,17.8933888888889,2016,"13.09.2016","Kočárek","18",NA
"8",49.6407777777778,17.88425,2017,"31.08.2017","Kočárek","19",NA
"9",49.6411944444444,17.8848611111111,2017,"31.08.2017","Kočárek","19",NA
"10",49.6326388888889,17.8709722222222,2017,"31.08.2017","Kočárek","18",NA
"11",49.6645555555556,17.9815277777778,2017,"31.08.2017","Kočárek","18",NA
"12",49.6616944444444,17.9760277777778,2018,"20.09.2018","Kočárek","18",NA
"13",49.6618611111111,17.9763055555556,2018,"20.09.2018","Kočárek","18",NA
"14",49.6643333333333,17.9817222222222,2018,"20.09.2018","Kočárek","18",NA
"15",49.6485,17.9882222222222,2017,"20.09.2017","Kočárek","17",NA
"16",49.6473333333333,17.99075,2017,"20.09.2017","Kočárek","17",NA
"17",49.6815555555556,18.0421388888889,2018,"20.09.2018","Kočárek","17",NA
"18",49.7027777777778,18.0545555555556,2018,"20.09.2018","Kočárek","17",NA
"19",49.7261666666667,18.1371388888889,2018,"20.09.2018","Kočárek","17",NA
"20",49.6961666666667,18.0430833333333,2018,"20.09.2018","Kočárek","17",NA
"21",49.6983611111111,18.0408611111111,2018,"20.09.2018","Kočárek","17",NA
"22",49.6636111111111,17.9802777777778,2019,"01.09.2019","Kočárek","20",NA
"23",49.8070833333333,18.2075555555556,2019,"01.09.2019","Kočárek","20",NA
"24",49.726,18.1297777777778,2019,"01.09.2019","Kočárek","19",NA
"25",49.8132222222222,18.2069166666667,2019,"01.09.2019","Kočárek","19",NA
"26",49.77475,18.1902777777778,2019,"01.09.2019","Kočárek","19",NA
"27",49.7498888888889,18.1864444444444,2019,"01.09.2019","Kočárek","19",NA
"28",49.7751111111111,18.1905833333333,2019,"27.08.2019","Kočárek","16",NA
"29",49.7731388888889,18.1922222222222,2019,"12.09.2019","Kočárek","15",NA
"30",49.7627222222222,18.1217777777778,2019,"12.09.2019","Kočárek","15",NA
"31",49.80725,18.2096388888889,2020,"20.08.2020","Kočárek","19",NA
"32",49.82675,18.2342777777778,2020,"20.08.2020","Kočárek","18",NA
"33",49.8268888888889,18.2153611111111,2020,"20.08.2020","Kočárek","18",NA
"34",49.80975,18.2059444444444,2020,"20.08.2020","Kočárek","18",NA
"35",49.8488888888889,18.2445277777778,2020,"23.08.2020","Kočárek","18",NA
"36",49.8394444444444,18.2392777777778,2020,"23.08.2020","Kočárek","18",NA
"37",49.8529722222222,18.2524722222222,2020,"23.08.2020","Kočárek","18",NA
"38",49.8527222222222,18.22125,2020,"23.08.2020","Kočárek","18",NA
"39",49.85175,18.2194166666667,2020,"23.08.2020","Kočárek","17",NA
"40",49.8726944444444,18.2598888888889,2020,"23.08.2020","Kočárek","17",NA
"41",49.8598055555556,18.2946944444444,2020,"23.08.2020","Kočárek","17",NA
"42",49.8713055555556,18.2905833333333,2020,"23.08.2020","Kočárek","17",NA
"45",49.6618888888889,17.9755555555556,2019,"14.07.2019","Kočárek",NA,"nymphs found"
"46",49.807,18.2086944444444,2020,"02.08.2020","Kočárek",NA,"nymphs found"
